item,ALL,CCVI,CVM,GAIN,CRI,CCPI,DICE,HDI,VASS
All,100,100,100,100,100,100,100,100,100
MITG,52.3,20.5,97.3,1.9,27.4,48.4,99,77.5,74.1
ADAP,10.6,31.7,5.6,100,38.4,35.9,75.6,44.4,36
MIGR,7.6,13.7,80.9,0,4.1,3.1,1.9,15.2,45.5
DEV,6.9,8.7,4.3,0.9,32.9,29.7,74.6,44.4,10.7
FSEC,5.9,39.8,10.7,4.6,15.1,10.9,70.8,31.8,17
ADPF,1.3,2.5,1.8,0,30.1,29.7,68.4,9.9,2.4
HLTH,6.9,0,1.1,1.4,1.4,4.7,72.7,13.2,4
SCEP,17.1,0.6,1.3,0.5,0,0,74.2,12.6,12.8
CSEC,5.8,0,1.8,4.6,0,3.1,1.9,2,2.7
readiness,3,0.6,0.3,98.6,1.4,0,0.5,4.6,0.6
score,2.2,0,0,92.6,0,3.1,0.5,6.6,0.8
water,40.5,96.3,6.6,95.8,8.2,4.7,78.9,74.8,46.5
climate change,60.5,100,100,97.7,82.2,100,98.1,93.4,97.9
energy,56.8,36.6,95.8,95.4,34.2,48.4,97.1,85.4,73.9
vulnerability,3.9,100,100,99.1,13.7,3.1,70.3,25.8,100
health,30.3,23,6.3,96.3,6.8,4.7,78,70.9,27.5
economic,27.3,19.3,4.2,92.6,12.3,14.1,94.3,73.5,21.9
freedom,23.5,0.6,1.3,89.8,1.4,1.6,70.8,23.2,9.7
temperature,32.2,8.1,2.6,90.3,8.2,12.5,93.8,32.5,16.3
challenges,10,18.6,1.4,92.6,5.5,12.5,77.5,25.8,17.1
adaptation,10.6,31.7,5.6,100,38.4,35.9,75.6,44.4,36
development,36.6,69.6,97.9,6,37,45.3,79.4,99.3,86.1
disaster,13.8,24.8,97.8,0.5,12.3,3.1,75.1,58.9,62.5
carbon,42,14.9,95.5,1.9,17.8,32.8,91.9,70.2,63
emissions,24.5,7.5,2.4,0.9,26,45.3,98.6,60.9,18.4
sustainability,14.7,9.3,1.3,0.5,5.5,7.8,73.7,43,10.5
human,33.1,19.9,3.5,7.4,16.4,23.4,83.3,98.7,25.1
weather,26.1,31.7,4.8,5.6,72.6,51.6,77,37.1,30.5
policy,55.4,25.5,7.7,6.5,65.8,82.8,99,92.1,32.6
germanwatch,0.4,0.6,0.6,0,95.9,98.4,0,0,0.6
performance,17.2,4.3,0.5,0.9,52.1,100,2.4,14.6,8.2
met office,24.3,6.2,3,0.9,13.7,25,77.5,40.4,12.8
paper,30.4,9.9,1.9,2.3,15.1,17.2,92.3,40.4,22
finance,10.7,5,1.6,1.4,23.3,28.1,72.7,27.8,5.4
solar,36.4,41.6,4.3,0.5,6.8,12.5,78.9,41.1,16.3
greenhouse,25.8,6.2,1.1,0.5,9.6,18.8,88,37.7,17
global warming,37,40.4,2.9,0.9,8.2,9.4,98.6,32.5,19.7
environment,49.4,59,8,0.9,15.1,25,93.8,70.2,33.7
